,slot,flight,eta,fpfs,time,priority,margins,airline,cost,num,type,new slot,new arrival,eta slot,instance
100,0,FA0,0,0,0,0.5571767628580213,18,A,0.7312828881460183,0,B733,0,0,0,5
101,1,FD1,1,2,2,0.11132179736438796,23,D,1.4838427908889682,1,E190,1,2,1,5
102,2,FC2,2,4,4,0.5305514227606976,17,C,0.8028291089667376,2,A320,2,4,1,5
103,3,FD3,3,6,6,0.0,32,D,1.6697188999215204,3,E190,3,6,2,5
104,4,FA5,5,8,10,0.12707128862967199,46,A,1.4415635306685683,5,B734,4,8,3,5
105,5,FA10,10,10,20,0.0,28,A,1.6514103750873246,10,A321,5,10,5,5
106,6,FB6,6,12,12,0.06807048106855096,31,B,1.4392666777531717,6,B763,6,12,3,5
107,7,FC14,14,14,28,0.6032483797129661,45,C,0.6785061564555147,14,A321,7,14,7,5
108,8,FC12,12,16,24,0.0,35,C,1.7101534606579367,12,B735,8,16,6,5
109,9,FB16,16,18,32,0.5833772836550487,57,B,0.6434297665748774,16,B744,9,18,8,5
110,10,FA15,15,20,30,0.07226344996979228,37,A,1.5320737640676059,15,B733,10,20,8,5
111,11,FD11,11,22,22,0.4307008693387624,44,D,0.9505695181739595,11,B744,11,22,6,5
112,12,FC7,7,24,14,0.5644749610336981,40,C,0.7448146525914039,7,E190,12,24,4,5
113,13,FD19,19,26,38,0.13618503495038214,55,D,1.4423281731783946,19,B738,13,26,10,5
114,14,FC8,8,28,16,0.1820526109347298,50,C,1.3988155580460957,8,AT43,14,28,4,5
115,15,FA4,4,30,8,0.15515623998571348,34,A,1.3951837506153786,4,AT43,15,30,2,5
116,16,FB17,17,32,34,0.4848075279629622,41,B,0.7956603397243975,17,B738,16,32,9,5
117,17,FB9,9,34,18,0.0,35,B,1.544394343687531,9,A319,17,34,5,5
118,18,FB18,18,36,36,0.01723905230959788,62,B,1.5177704488100545,18,B735,18,36,9,5
119,19,FD13,13,38,26,0.5912136834646313,49,D,0.6825582387484063,13,AT72,19,38,7,5
120,0,FB0,0,0,0,0.05214713806907423,19,B,1.3984954511489434,0,A321,0,0,0,6
121,1,FA2,2,2,4,0.14969048485702763,41,A,1.38944783491124,2,B763,1,2,1,6
122,2,FA1,1,4,2,0.18897253957352145,41,A,1.3252590131884583,1,B738,2,4,1,6
123,3,FC4,4,6,8,0.0,22,C,0.7680164203670296,4,B744,3,6,2,6
124,4,FC3,3,8,6,0.12712768276312347,37,C,0.6703802725217402,3,B763,4,8,2,6
125,5,FA5,5,10,10,0.6483934010857495,46,A,0.574542585848597,5,B735,5,10,3,6
126,6,FB11,11,12,22,0.4748610927819149,27,B,0.774808414324689,11,B744,6,12,6,6
127,7,FD14,14,14,28,0.5553450027900542,49,D,0.7388209420000167,14,A332,7,14,7,6
128,8,FC15,15,16,30,0.0603150648398717,33,C,0.721693460174506,15,A319,8,16,8,6
129,9,FD7,7,18,14,0.14993417362515304,28,D,1.4124353454814589,7,A319,9,18,4,6
130,10,FD16,16,20,32,0.6299972448598794,43,D,0.6147817652123553,16,B733,10,20,8,6
131,11,FB6,6,22,12,0.0,48,B,1.4754351728178439,6,A332,11,22,3,6
132,12,FB12,12,24,24,0.6148444071640591,32,B,0.5682721086776555,12,A319,12,24,6,6
133,13,FA19,19,26,38,0.49082003171417354,55,A,0.8320252706991744,19,A319,13,26,10,6
134,14,FD9,9,28,18,0.0,31,D,1.661559965896839,9,E190,14,28,5,6
135,15,FC17,17,30,34,0.24409388934245546,43,C,0.5805483052407711,17,B733,15,30,9,6
136,16,FD10,10,32,20,0.06899015464450398,51,D,1.5469286868984993,10,AT72,16,32,5,6
137,17,FC8,8,34,16,0.12353755614207607,43,C,0.6731375487179013,8,AT72,17,34,4,6
138,18,FB18,18,36,36,0.5786888441105185,53,B,0.6216172980998828,18,B733,18,36,9,6
139,19,FA13,13,38,26,0.0,55,A,1.6340494962914958,13,B735,19,38,7,6
140,0,FA0,0,0,0,0.5384935560372737,27,A,0.7336847900763465,0,B744,0,0,0,7
141,1,FC1,1,2,2,0.4514835805438131,22,C,0.8178288758671263,1,B744,1,2,1,7
142,2,FB2,2,4,4,0.0,44,B,1.5070747250156462,2,B738,2,4,1,7
143,3,FB3,3,6,6,0.5869590468996408,37,B,0.6224835808139243,3,B738,3,6,2,7
144,4,FD4,4,8,8,0.4385411104830389,42,D,0.8426247817468384,4,A321,4,8,2,7
145,5,FC5,5,10,10,0.0,21,C,1.4909833996910113,5,A332,5,10,3,7
146,6,FB7,7,12,14,0.4862697137095622,49,B,0.7742299299433708,7,A321,6,12,4,7
147,7,FB6,6,14,12,0.45001717133644603,22,B,0.8288652202714528,6,B734,7,14,3,7
148,8,FB8,8,16,16,0.4597682034385697,48,B,0.8141696862475261,8,DH8D,8,16,4,7
149,9,FD13,13,18,26,0.11883247522398255,46,D,1.3224362586646043,13,B752,9,18,7,7
150,10,FA10,10,20,20,0.0,28,A,1.5897606624439735,10,B744,10,20,5,7
151,11,FA14,14,22,28,0.03726034131166578,42,A,1.5305256375574512,14,B744,11,22,7,7
152,12,FC17,17,24,34,0.009430323202633484,41,C,1.4769229443421639,17,A332,12,24,9,7
153,13,FD15,15,26,30,0.5380276103173365,47,D,0.6933176966248039,15,A321,13,26,8,7
154,14,FA19,19,28,38,0.637759148413191,41,A,0.5758762561829145,19,B738,14,28,10,7
155,15,FD9,9,30,18,0.09392731502458063,28,D,1.3598133588748187,9,DH8D,15,30,5,7
156,16,FC12,12,32,24,0.5068917476621677,29,C,0.7352162184863542,12,DH8D,16,32,6,7
157,17,FC16,16,34,32,0.0037951809263628844,48,C,1.4853248479309804,16,AT43,17,34,8,7
158,18,FD18,18,36,36,0.0,38,D,1.5007773453756734,18,AT72,18,36,9,7
159,19,FA11,11,38,22,0.5672219808707166,37,A,0.6880134703821601,11,B733,19,38,6,7
160,0,FC0,0,0,0,0.0,37,C,1.5608594857909333,0,B735,0,0,0,8
161,1,FB1,1,2,2,0.5350768651825729,44,B,0.7508726337110566,1,B752,1,2,1,8
162,2,FA2,2,4,4,0.5973784193244019,30,A,0.6785063601456579,2,AT72,2,4,1,8
163,3,FC4,4,6,8,0.4796227715706083,43,C,0.8122357331836114,4,B763,3,6,2,8
164,4,FC3,3,8,6,0.009827242071409503,29,C,1.54552054178461,3,E190,4,8,2,8
165,5,FB5,5,10,10,0.6329875192739454,42,B,0.5927423424859677,5,B744,5,10,3,8
166,6,FB6,6,12,12,0.6081072265532181,33,B,0.6329251803007621,6,B763,6,12,3,8
167,7,FD8,8,14,16,0.0,28,D,1.5750811058286087,8,A320,7,14,4,8
168,8,FD15,15,16,30,0.5906531830821911,57,D,0.6447544370583236,15,B752,8,16,8,8
169,9,FA10,10,18,20,0.0,30,A,1.6852210430626342,10,B744,9,18,5,8
170,10,FA16,16,20,32,0.07196057901293518,38,A,1.5639515610390644,16,A332,10,20,8,8
171,11,FC11,11,22,22,0.17231792974942173,26,C,1.2918954105696927,11,A319,11,22,6,8
172,12,FB14,14,24,28,0.0,37,B,1.6150468270543699,14,B734,12,24,7,8
173,13,FD7,7,26,14,0.45416870563442235,33,D,0.8597285587251949,7,A319,13,26,4,8
174,14,FB12,12,28,24,0.5056022082249124,54,B,0.7984755849090422,12,B735,14,28,6,8
175,15,FD18,18,30,36,0.6701012214244924,54,D,0.5196173329702178,18,DH8D,15,30,9,8
176,16,FA19,19,32,38,0.6476821259932612,41,A,0.5937334951232459,19,A321,16,32,10,8
177,17,FC17,17,34,34,0.14187153431166677,49,C,1.3394179556968544,17,DH8D,17,34,9,8
178,18,FD13,13,36,26,0.09659202313141768,37,D,1.4229408352205528,13,AT72,18,36,7,8
179,19,FA9,9,38,18,0.4448691158936322,34,A,0.9355182475500154,9,B735,19,38,5,8
180,0,FC0,0,0,0,0.0,39,C,1.5617463834279202,0,AT43,0,0,0,9
181,1,FC1,1,2,2,0.6014737281360945,44,C,0.6223969637844665,1,A321,1,2,1,9
182,2,FA4,4,4,8,0.582716096530846,34,A,0.7147897230241125,4,B738,2,4,2,9
183,3,FD3,3,6,6,0.06416993027021611,22,D,1.5431738760821043,3,B738,3,6,2,9
184,4,FA8,8,8,16,0.09557784686156601,50,A,1.5492369942002338,8,B734,4,8,4,9
185,5,FB6,6,10,12,0.5518000332780111,36,B,0.6984358022942976,6,A319,5,10,3,9
186,6,FB11,11,12,22,0.527138841578088,37,B,0.736865656130394,11,B738,6,12,6,9
187,7,FC7,7,14,14,0.48701414961657097,50,C,0.8011537965860165,7,B735,7,14,4,9
188,8,FA9,9,16,18,0.0,30,A,1.7129578138087713,9,A321,8,16,5,9
189,9,FA17,17,18,34,0.15149358050285755,33,A,1.4534557013445333,17,B752,9,18,9,9
190,10,FD10,10,20,20,0.07661805430267365,47,D,1.5226470513577557,10,B752,10,20,5,9
191,11,FB16,16,22,32,0.0,31,B,1.5583129276034193,16,A321,11,22,8,9
192,12,FD13,13,24,26,0.6067691660177469,52,D,0.6484334815685172,13,B738,12,24,7,9
193,13,FD12,12,26,24,0.5621857533648028,38,D,0.7219510569681593,12,DH8D,13,26,6,9
194,14,FB14,14,28,28,0.010691534340076414,49,B,1.5416521714253624,14,A320,14,28,7,9
195,15,FC19,19,30,38,0.009723520651026551,39,C,1.5465607102169927,19,A321,15,30,10,9
196,16,FB5,5,32,10,0.6126937056271375,47,B,0.6035444054634072,5,B735,16,32,3,9
197,17,FA2,2,34,4,0.627560912085624,21,A,0.6379724458107422,2,B733,17,34,1,9
198,18,FD18,18,36,36,0.0,50,D,1.6489894116435988,18,AT43,18,36,9,9
199,19,FC15,15,38,30,0.6437352899134616,47,C,0.5563951225206477,15,B738,19,38,8,9
200,0,FC0,0,0,0,0.5081115350261718,23,C,0.741920153121449,0,B733,0,0,0,10
201,1,FA2,2,2,4,0.07093958922630661,19,A,1.5825326991670727,2,A320,1,2,1,10
202,2,FA3,3,4,6,0.6417428142023969,29,A,0.6102441828988692,3,B763,2,4,2,10
203,3,FA1,1,6,2,0.5100478684447878,31,A,0.834569270438539,1,A319,3,6,1,10
204,4,FB4,4,8,8,0.0,33,B,1.5139326840887826,4,AT43,4,8,2,10
205,5,FD5,5,10,10,0.0,34,D,1.5626573947554105,5,B763,5,10,3,10
206,6,FD9,9,12,18,0.49820973026870186,32,D,0.784126275611925,9,A321,6,12,5,10
207,7,FA7,7,14,14,0.0,35,A,1.7033689960475094,7,B744,7,14,4,10
208,8,FA8,8,16,16,0.11489547459887006,48,A,1.50765960682963,8,B763,8,16,4,10
209,9,FD6,6,18,12,0.052959330974637564,26,D,1.4799001045865938,6,B738,9,18,3,10
210,10,FB13,13,20,26,0.6056545358082976,28,B,0.597012487061981,13,B744,10,20,7,10
211,11,FB19,19,22,38,0.45308082464671695,44,B,0.8279988151222194,19,B763,11,22,10,10
212,12,FC18,18,24,36,0.5573645745091346,55,C,0.6676313149051659,18,A321,12,24,9,10
213,13,FB10,10,26,20,0.12694684870374784,31,B,1.321743700694105,10,B752,13,26,5,10
214,14,FD14,14,28,28,0.6906329129376321,41,D,0.48343476629195015,14,A320,14,28,7,10
215,15,FC12,12,30,24,0.0,44,C,1.5083097204991869,12,B733,15,30,6,10
216,16,FD16,16,32,32,0.02731761293385082,42,D,1.5199693248972626,16,B735,16,32,8,10
217,17,FC17,17,34,34,0.021097918732821852,42,C,1.4764875245921698,17,B733,17,34,9,10
218,18,FC15,15,36,30,0.531371403341551,37,C,0.7068370676438315,15,DH8D,18,36,8,10
219,19,FB11,11,38,22,0.059966962740314655,33,B,1.423146739230686,11,B752,19,38,6,10
220,0,FA0,0,0,0,0.0,39,A,1.549132491597589,0,B735,0,0,0,11
221,1,FD1,1,2,2,0.03671463165733291,39,D,1.5491981725444082,1,B752,1,2,1,11
222,2,FA4,4,4,8,0.6764994792223553,27,A,0.5011451677853904,4,B738,2,4,2,11
223,3,FC5,5,6,10,0.5205373019455891,47,C,0.7493539574199864,5,E190,3,6,3,11
224,4,FA2,2,8,4,0.5058808828395891,44,A,0.7654559791127082,2,B733,4,8,1,11
225,5,FC3,3,10,6,0.0,39,C,1.562903559465115,3,AT43,5,10,2,11
226,6,FD11,11,12,22,0.5398336944310513,36,D,0.7400598234772865,11,A320,6,12,6,11
227,7,FB7,7,14,14,0.02376294147533453,49,B,1.5156706226063716,7,B763,7,14,4,11
228,8,FA8,8,16,16,0.5083578321729285,45,A,0.7616188564203913,8,B733,8,16,4,11
229,9,FB9,9,18,18,0.014329754098578062,47,B,1.530316250796412,9,B763,9,18,5,11
230,10,FD16,16,20,32,0.0,49,D,1.6082442684765412,16,A320,10,20,8,11
231,11,FD6,6,22,12,0.14974655598349362,28,D,1.367415228091986,6,A320,11,22,3,11
232,12,FC15,15,24,30,0.0705938400493703,52,C,1.4525721955756432,15,B763,12,24,8,11
233,13,FC12,12,26,24,0.6041291212205208,34,C,0.6187080055330312,12,B738,13,26,6,11
234,14,FB14,14,28,28,0.06661167871934559,49,B,1.4491452108844745,14,B738,14,28,7,11
235,15,FC13,13,30,26,0.599938020443795,45,C,0.6252582918550529,13,A319,15,30,7,11
236,16,FD10,10,32,20,0.5925990396391215,40,D,0.6552002594722214,10,B735,16,32,5,11
237,17,FA17,17,34,34,0.5227462447549908,38,A,0.739329298987007,17,A319,17,34,9,11
238,18,FB19,19,36,38,0.5136132610254285,46,B,0.755146595851591,19,B733,18,36,10,11
239,19,FB18,18,38,36,0.0,34,B,1.5525641127544605,18,AT72,19,38,9,11
240,0,FC0,0,0,0,0.0,35,C,1.4044709138087537,0,A332,0,0,0,12
241,1,FD1,1,2,2,0.0,24,D,1.7388578443345593,1,B733,1,2,1,12
242,2,FC2,2,4,4,0.0007108136749237604,42,C,1.4034725966771857,2,DH8D,2,4,1,12
243,3,FB3,3,6,6,0.5055394419734813,43,B,0.8048927815843006,3,A332,3,6,2,12
244,4,FD7,7,8,14,0.6428334561549144,33,D,0.6210618464988904,7,A319,4,8,4,12
245,5,FA5,5,10,10,0.5633129814440709,20,A,0.6232819857618603,5,A321,5,10,3,12
246,6,FA6,6,12,12,0.39250740482032787,38,A,0.8670722393153014,6,A319,6,12,3,12
247,7,FD14,14,14,28,0.1884969218520135,45,D,1.411088493139267,14,B733,7,14,7,12
248,8,FA8,8,16,16,0.0,49,A,1.4272968036077147,8,A319,8,16,4,12
249,9,FB9,9,18,18,0.5358511916459805,51,B,0.7555507094765463,9,A332,9,18,5,12
250,10,FC12,12,20,24,0.4885733697345762,56,C,0.7182838267550113,12,A332,10,20,6,12
251,11,FA16,16,22,32,0.13001794019508572,41,A,1.2417226131556098,16,B733,11,22,8,12
252,12,FC10,10,24,20,0.43915362188008333,37,C,0.7876924251844091,10,B738,12,24,5,12
253,13,FB13,13,26,26,0.796755081495298,39,B,0.33084614160337233,13,B738,13,26,7,12
254,14,FD4,4,28,8,0.0801948782709827,20,D,1.5994103511776059,4,B735,14,28,2,12
255,15,FB15,15,30,30,0.04689498434846151,31,B,1.5514833989014993,15,A319,15,30,8,12
256,16,FA11,11,32,22,0.5496700733882409,40,A,0.6427544648218605,11,E190,16,32,6,12
257,17,FB17,17,34,34,0.0,49,B,1.6278199919459158,17,A319,17,34,9,12
258,18,FD18,18,36,36,0.07467672363498634,43,D,1.6090056376526594,18,E190,18,36,9,12
259,19,FC19,19,38,38,0.49089958537945766,42,C,0.7150167245425284,19,B735,19,38,10,12
260,0,FD0,0,0,0,0.527152627766923,23,D,0.722937484406602,0,A320,0,0,0,13
261,1,FC1,1,2,2,0.0,16,C,1.4541138309848156,1,B734,1,2,1,13
262,2,FA2,2,4,4,0.5727701525145548,36,A,0.6511014258600573,2,B735,2,4,1,13
263,3,FC3,3,6,6,0.5245373835276539,43,C,0.6913767667286672,3,AT43,3,6,2,13
264,4,FB4,4,8,8,0.14649916800406237,36,B,1.366007375026008,4,A319,4,8,2,13
265,5,FC7,7,10,14,0.48648962057567324,47,C,0.746702545075174,7,B734,5,10,4,13
266,6,FD6,6,12,12,0.5465663094020436,41,D,0.6932558598729106,6,A320,6,12,3,13
267,7,FC8,8,14,16,0.5908822731392085,36,C,0.5949037451293449,8,B733,7,14,4,13
268,8,FC5,5,16,10,0.5423530466496844,26,C,0.6654707645747566,5,AT43,8,16,3,13
269,9,FB14,14,18,28,0.5579394926747753,58,B,0.7075071172477425,14,B744,9,18,7,13
270,10,FD13,13,20,26,0.0,42,D,1.5289024045802455,13,A319,10,20,7,13
271,11,FD10,10,22,20,0.5927876510522299,40,D,0.6225879394810158,10,B733,11,22,5,13
272,12,FA16,16,24,32,0.5517748978884952,34,A,0.6830983481345201,16,B763,12,24,8,13
273,13,FD11,11,26,22,0.029254198614051985,45,D,1.4841755899751534,11,E190,13,26,6,13
274,14,FB15,15,28,30,0.009417086907950512,30,B,1.5854039201041192,15,B744,14,28,8,13
275,15,FB18,18,30,36,0.04565442256504826,60,B,1.527406943530435,18,A320,15,30,9,13
276,16,FA12,12,32,24,0.0,37,A,1.524007345676472,12,B763,16,32,6,13
277,17,FA19,19,34,38,0.11740442753191949,37,A,1.3450821357028857,19,B752,17,34,10,13
278,18,FB9,9,36,18,0.0,49,B,1.6004757392345574,9,B735,18,36,5,13
279,19,FA17,17,38,34,0.6245947315744536,39,A,0.5721203866861805,17,A319,19,38,9,13
280,0,FD0,0,0,0,0.44610432190040683,25,D,0.7273483211326542,0,B734,0,0,0,14
281,1,FA1,1,2,2,0.008701021384499796,41,A,1.5934955163864968,1,B744,1,2,1,14
282,2,FC2,2,4,4,0.0,26,C,1.5634607906188585,2,A332,2,4,1,14
283,3,FB3,3,6,6,0.020020089577734157,30,B,1.440092220205822,3,A332,3,6,2,14
284,4,FA7,7,8,14,0.13510948419734925,24,A,1.3902961556780713,7,B738,4,8,4,14
285,5,FB9,9,10,18,0.0,27,B,1.4695119817153162,9,A332,5,10,5,14
286,6,FA6,6,12,12,0.0,46,A,1.6074822538524711,6,A319,6,12,3,14
287,7,FA4,4,14,8,0.561801777534811,21,A,0.7043958662824886,4,E190,7,14,2,14
288,8,FA8,8,16,16,0.5152066083670686,29,A,0.7792967738348883,8,AT72,8,16,4,14
